CONFIGURATION;DAY;EVENT;LOCAL_OF_INFECTION;INFECTOR;INFECTOR_AGE;INFECTOR_ADDRESS_HOUSE;INFECTOR_ADDRESS_POSITION;INFECTED;INFECTED_AGE;INFECTED_ADDRESS_HOUSE;INFECTED_ADDRESS_POSITION;STEP
full-config;3;infected;school;40286;8;2000;1;22121;8;1912;2;1
full-config;4;infected;home;40286;8;2000;1;40287;17;2000;2;1
full-config;4;infected;school;40286;8;2000;1;16277;8;1948;2;1
full-config;4;infected;school;40286;8;2000;1;39229;8;1623;4;1
full-config;4;infected;school;40286;8;2000;1;18082;8;1719;1;1
full-config;5;infected;home;40286;8;2000;1;40288;18;2000;3;1
full-config;5;infected;school;40286;8;2000;1;38806;8;1673;1;1
full-config;5;infected;school;40286;8;2000;1;36049;8;1422;4;1
full-config;5;infected;school;40286;8;2000;1;32029;8;1713;4;1
full-config;7;infected;home;40286;8;2000;1;40290;38;2000;5;1
full-config;11;infected;transportation;22121;8;1912;2;5462;14;2053;1;2
full-config;12;infected;home;39229;8;1623;4;39226;3;1623;1;2
full-config;12;infected;school;39229;8;1623;4;13421;8;1675;2;2
full-config;12;infected;home;22121;8;1912;2;22120;22;1912;1;2
full-config;12;infected;transportation;22121;8;1912;2;22937;17;1919;2;2
full-config;12;infected;transportation;22121;8;1912;2;34015;21;1977;2;2
full-config;12;infected;school;22121;8;1912;2;17601;8;1550;3;2
full-config;13;infected;home;39229;8;1623;4;39228;18;1623;3;2
full-config;13;infected;home;22121;8;1912;2;22122;17;1912;3;2
full-config;13;infected;school;22121;8;1912;2;26749;8;1906;4;2
full-config;13;infected;school;22121;8;1912;2;43090;8;1903;1;2
full-config;13;cured;-;40286;8;2000;1;0;0;0;0;0
full-config;13;infected;school;40287;17;2000;2;30592;16;1794;3;2
full-config;13;infected;home;40288;18;2000;3;40291;5;2000;6;2
full-config;13;infected;transportation;40288;18;2000;3;33512;10;2042;3;2
full-config;13;infected;school;40288;18;2000;3;3598;17;1922;1;2
full-config;13;infected;school;40288;18;2000;3;41918;22;1942;1;2
full-config;14;dead;-;36049;8;1422;4;0;0;0;0;0
full-config;14;infected;school;39229;8;1623;4;40346;8;1463;1;2
full-config;14;infected;home;18082;8;1719;1;18084;5;1719;3;2
full-config;14;infected;school;22121;8;1912;2;26792;8;1746;3;2
full-config;14;infected;home;16277;8;1948;2;16276;51;1948;1;2
full-config;14;infected;school;16277;8;1948;2;20113;8;1591;1;2
full-config;14;infected;school;40287;17;2000;2;16915;18;1988;1;2
