CONFIGURATION;DAY;EVENT;LOCAL_OF_INFECTION;INFECTOR;INFECTOR_AGE;INFECTOR_ADDRESS_HOUSE;INFECTOR_ADDRESS_POSITION;INFECTED;INFECTED_AGE;INFECTED_ADDRESS_HOUSE;INFECTED_ADDRESS_POSITION;STEP
full-config;2;infected;school;17272;12;400;1;16097;12;268;2;1
full-config;3;infected;home;17272;12;400;1;17273;76;400;2;1
full-config;3;infected;school;17272;12;400;1;42574;12;187;1;1
full-config;3;infected;school;17272;12;400;1;7585;12;270;2;1
full-config;4;infected;home;17272;12;400;1;17274;55;400;3;1
full-config;4;infected;school;17272;12;400;1;5928;15;312;1;1
full-config;4;infected;school;17272;12;400;1;36785;12;103;5;1
full-config;4;infected;school;17272;12;400;1;4222;12;433;1;1
full-config;4;infected;school;17272;12;400;1;28151;12;124;2;1
full-config;5;infected;school;17272;12;400;1;4756;12;81;1;1
full-config;9;infected;school;42574;12;187;1;7341;12;319;2;2
full-config;10;infected;school;42574;12;187;1;24351;12;276;2;2
full-config;10;infected;school;42574;12;187;1;37336;11;38;1;2
full-config;10;dead;-;7585;12;270;2;0;0;0;0;0
full-config;11;infected;home;28151;12;124;2;28152;56;124;3;2
full-config;11;infected;home;28151;12;124;2;28153;41;124;4;2
full-config;11;infected;school;28151;12;124;2;17494;12;336;1;2
full-config;12;infected;home;4222;12;433;1;4223;49;433;2;2
full-config;12;infected;school;4222;12;433;1;23466;12;4;1;2
full-config;13;infected;home;4756;12;81;1;4757;62;81;2;2
full-config;13;infected;home;16097;12;268;2;16096;47;268;1;2
full-config;13;infected;home;16097;12;268;2;16098;41;268;3;2
full-config;13;cured;-;17272;12;400;1;0;0;0;0;0
full-config;13;infected;school;4222;12;433;1;18068;12;119;2;2
full-config;13;infected;school;4222;12;433;1;8502;12;117;1;2
full-config;13;infected;school;4222;12;433;1;33183;12;186;2;2
full-config;14;infected;school;4756;12;81;1;29206;12;16;1;2
full-config;14;infected;school;16097;12;268;2;5728;12;321;1;2
full-config;14;infected;home;5928;15;312;1;5929;18;312;2;2
full-config;17;infected;school;37336;11;38;1;24352;12;276;3;3
full-config;18;infected;home;37336;11;38;1;37337;35;38;2;3
full-config;18;infected;home;37336;11;38;1;37338;38;38;3;3
full-config;18;infected;school;4756;12;81;1;22534;12;114;1;2
full-config;18;infected;school;7341;12;319;2;10860;12;446;1;3
full-config;18;infected;transportation;17494;12;336;1;7603;14;397;2;3
full-config;19;infected;home;17494;12;336;1;17496;53;336;3;3
full-config;19;infected;home;17494;12;336;1;17495;75;336;2;3
full-config;19;infected;transportation;17494;12;336;1;5512;18;384;1;3
full-config;19;infected;transportation;17494;12;336;1;41497;56;434;6;3
full-config;20;cured;-;42574;12;187;1;0;0;0;0;0
full-config;20;infected;home;24351;12;276;2;24350;10;276;1;3
full-config;20;infected;home;24351;12;276;2;24353;57;276;4;3
full-config;20;infected;home;5728;12;321;1;5729;35;321;2;3
full-config;20;infected;school;17494;12;336;1;24484;12;418;3;3
full-config;21;cured;-;28151;12;124;2;0;0;0;0;0
full-config;21;infected;home;33183;12;186;2;33184;58;186;3;3
full-config;21;infected;school;7341;12;319;2;42882;12;299;1;3
full-config;21;cured;-;17274;55;400;3;0;0;0;0;0
full-config;22;infected;home;29206;12;16;1;29209;5;16;4;3
full-config;22;infected;transportation;36785;12;103;5;2946;18;139;1;2
full-config;22;infected;transportation;36785;12;103;5;4883;24;143;2;2
full-config;22;infected;transportation;36785;12;103;5;31609;23;153;4;2
full-config;22;infected;transportation;36785;12;103;5;12054;18;167;3;2
full-config;22;infected;transportation;36785;12;103;5;14701;17;172;1;2
full-config;22;infected;transportation;36785;12;103;5;39395;37;180;5;2
full-config;22;infected;transportation;36785;12;103;5;21635;19;199;2;2
full-config;22;infected;home;18068;12;119;2;18067;40;119;1;3
full-config;22;infected;home;33183;12;186;2;33182;14;186;1;3
full-config;22;cured;-;16097;12;268;2;0;0;0;0;0
full-config;22;cured;-;5928;15;312;1;0;0;0;0;0
full-config;22;cured;-;4222;12;433;1;0;0;0;0;0
full-config;23;infected;home;23466;12;4;1;23468;54;4;3;3
full-config;23;infected;transportation;23466;12;4;1;42607;20;22;6;3
full-config;23;cured;-;4756;12;81;1;0;0;0;0;0
full-config;23;infected;transportation;36785;12;103;5;10892;43;175;1;2
full-config;23;infected;transportation;36785;12;103;5;4010;19;216;1;2
full-config;23;infected;school;5929;18;312;2;620;19;478;1;3
full-config;23;infected;school;5929;18;312;2;34996;23;415;1;3
full-config;24;infected;transportation;23466;12;4;1;42606;18;22;5;3
full-config;24;infected;transportation;23466;12;4;1;3822;18;28;1;3
full-config;24;infected;transportation;23466;12;4;1;34964;18;39;4;3
full-config;24;infected;transportation;36785;12;103;5;10817;16;183;2;2
full-config;24;infected;transportation;36785;12;103;5;42265;15;190;7;2
full-config;24;infected;transportation;36785;12;103;5;32216;2;201;3;2
full-config;24;cured;-;36785;12;103;5;0;0;0;0;0
full-config;24;infected;school;5929;18;312;2;18688;19;27;1;3
full-config;24;infected;school;5929;18;312;2;4901;23;31;2;3
full-config;24;infected;school;5929;18;312;2;32698;19;12;1;3
full-config;24;cured;-;7341;12;319;2;0;0;0;0;0
full-config;24;dead;-;5729;35;321;2;0;0;0;0;0
full-config;24;infected;school;7603;14;397;2;18105;14;194;3;4
full-config;25;infected;home;23466;12;4;1;23467;71;4;2;3
full-config;25;infected;transportation;23466;12;4;1;42603;23;22;2;3
full-config;25;infected;transportation;23466;12;4;1;2738;13;53;1;3
full-config;25;infected;transportation;23466;12;4;1;2938;13;60;1;3
full-config;25;infected;home;8502;12;117;1;8503;39;117;2;3
full-config;25;infected;home;28152;56;124;3;28150;57;124;1;3
full-config;25;infected;school;5929;18;312;2;9440;18;217;1;3
full-config;25;infected;school;5929;18;312;2;36429;23;383;4;3
full-config;25;infected;transportation;7603;14;397;2;37916;9;454;1;4
full-config;25;infected;transportation;7603;14;397;2;4964;19;482;1;4
full-config;25;infected;school;7603;14;397;2;22609;14;202;1;4
full-config;25;infected;school;7603;14;397;2;40187;16;351;4;4
full-config;25;infected;school;7603;14;397;2;14676;14;218;3;4
full-config;25;cured;-;17273;76;400;2;0;0;0;0;0
full-config;25;dead;-;41497;56;434;6;0;0;0;0;0
full-config;26;infected;transportation;23466;12;4;1;23807;66;82;2;3
full-config;26;infected;transportation;23466;12;4;1;5182;15;85;1;3
full-config;26;infected;transportation;23466;12;4;1;33734;16;94;1;3
full-config;26;infected;school;5929;18;312;2;19732;19;542;1;3
full-config;26;infected;school;5929;18;312;2;13666;19;59;1;3
full-config;26;infected;school;5512;18;384;1;35498;17;74;3;4
full-config;26;infected;transportation;7603;14;397;2;194;21;497;1;4
full-config;26;infected;transportation;7603;14;397;2;6134;16;502;1;4
full-config;26;infected;transportation;7603;14;397;2;13036;7;520;1;4
full-config;26;infected;school;7603;14;397;2;14767;16;230;1;4
full-config;27;cured;-;24351;12;276;2;0;0;0;0;0
full-config;27;infected;home;5512;18;384;1;5513;10;384;2;4
full-config;27;infected;school;5512;18;384;1;8058;17;393;1;4
full-config;27;infected;work;5512;18;384;1;15619;38;9;1;4
full-config;27;infected;school;7603;14;397;2;11056;16;469;1;4
full-config;27;infected;school;7603;14;397;2;36426;20;383;1;4
full-config;27;infected;school;7603;14;397;2;21008;20;421;2;4
full-config;27;infected;home;10860;12;446;1;10861;35;446;2;4
full-config;28;cured;-;37336;11;38;1;0;0;0;0;0
full-config;28;infected;home;37337;35;38;2;37339;61;38;4;4
full-config;28;cured;-;28153;41;124;4;0;0;0;0;0
full-config;28;infected;school;33182;14;186;1;41551;14;288;6;4
full-config;28;dead;-;33182;14;186;1;0;0;0;0;0
full-config;28;infected;home;33184;58;186;3;33185;50;186;4;4
full-config;28;dead;-;33184;58;186;3;0;0;0;0;0
full-config;28;infected;school;24350;10;276;1;14702;9;172;2;4
full-config;28;cured;-;17494;12;336;1;0;0;0;0;0
