CONFIGURATION;DAY;EVENT;LOCAL_OF_INFECTION;INFECTOR;INFECTOR_AGE;INFECTOR_ADDRESS_HOUSE;INFECTOR_ADDRESS_POSITION;INFECTED;INFECTED_AGE;INFECTED_ADDRESS_HOUSE;INFECTED_ADDRESS_POSITION;STEP
full-config;6;infected;transportation;15544;16;400;1;4158;22;452;1;1
full-config;7;infected;home;15544;16;400;1;15546;76;400;3;1
full-config;7;infected;transportation;15544;16;400;1;31080;17;429;3;1
full-config;7;infected;school;15544;16;400;1;16199;21;315;2;1
full-config;8;infected;transportation;15544;16;400;1;16347;17;459;3;1
full-config;8;infected;transportation;15544;16;400;1;5038;18;463;1;1
full-config;8;infected;transportation;15544;16;400;1;2544;15;496;1;1
full-config;8;infected;transportation;15544;16;400;1;10680;28;501;1;1
full-config;8;infected;school;15544;16;400;1;10681;14;501;2;1
full-config;8;infected;school;15544;16;400;1;34050;14;348;1;1
full-config;8;infected;school;15544;16;400;1;9361;17;399;2;1
full-config;9;infected;transportation;15544;16;400;1;5952;13;484;1;1
full-config;9;infected;transportation;15544;16;400;1;6619;7;502;2;1
full-config;9;infected;school;15544;16;400;1;34500;14;444;5;1
full-config;9;infected;school;15544;16;400;1;43389;14;602;3;1
full-config;9;infected;school;15544;16;400;1;20246;17;311;2;1
full-config;10;infected;home;15544;16;400;1;15545;52;400;2;1
full-config;10;infected;transportation;15544;16;400;1;14785;17;403;1;1
full-config;10;infected;transportation;15544;16;400;1;31567;18;524;2;1
full-config;10;infected;school;15544;16;400;1;20986;14;330;1;1
full-config;13;cured;-;15544;16;400;1;0;0;0;0;0
full-config;14;infected;home;31080;17;429;3;31081;9;429;4;2
full-config;14;infected;school;31080;17;429;3;11051;22;470;2;2
full-config;14;infected;school;4158;22;452;1;2594;15;522;1;2
full-config;14;infected;school;4158;22;452;1;21051;14;386;3;2
full-config;15;infected;school;34050;14;348;1;27878;14;564;1;2
full-config;15;infected;home;31080;17;429;3;31078;37;429;1;2
full-config;15;infected;transportation;31080;17;429;3;8589;25;529;2;2
full-config;15;infected;transportation;31080;17;429;3;20464;35;532;1;2
full-config;15;infected;school;31080;17;429;3;41663;22;652;4;2
full-config;15;infected;school;31080;17;429;3;14882;18;613;2;2
full-config;15;infected;school;31080;17;429;3;4232;17;545;1;2
full-config;15;infected;home;4158;22;452;1;4159;29;452;2;2
full-config;15;infected;transportation;4158;22;452;1;32663;19;480;2;2
full-config;15;infected;transportation;4158;22;452;1;40801;8;513;6;2
full-config;15;infected;transportation;4158;22;452;1;20541;16;518;3;2
full-config;15;infected;school;4158;22;452;1;36573;14;486;3;2
full-config;15;infected;school;4158;22;452;1;11893;15;450;1;2
full-config;16;infected;school;34050;14;348;1;4666;14;586;1;2
full-config;16;infected;home;31080;17;429;3;31079;49;429;2;2
full-config;16;infected;school;31080;17;429;3;35476;21;490;1;2
full-config;16;infected;school;31080;17;429;3;11985;17;715;3;2
full-config;16;infected;school;31080;17;429;3;43388;22;602;2;2
full-config;16;infected;school;31080;17;429;3;5798;22;621;1;2
full-config;16;infected;transportation;4158;22;452;1;7075;7;534;2;2
full-config;16;infected;school;4158;22;452;1;4398;16;326;1;2
full-config;16;infected;school;4158;22;452;1;40800;12;513;5;2
full-config;16;infected;home;5038;18;463;1;5039;7;463;2;2
full-config;16;infected;school;5038;18;463;1;11905;23;25;1;2
full-config;17;infected;home;16199;21;315;2;16200;44;315;3;2
full-config;17;infected;transportation;16199;21;315;2;20981;37;351;5;2
full-config;17;infected;transportation;16199;21;315;2;3234;17;374;1;2
full-config;17;infected;transportation;16199;21;315;2;3870;15;377;1;2
full-config;17;infected;home;34050;14;348;1;34052;40;348;3;2
full-config;17;infected;school;34050;14;348;1;4392;13;421;1;2
full-config;17;infected;school;34050;14;348;1;6618;14;502;1;2
full-config;17;infected;school;9361;17;399;2;29726;14;410;1;2
full-config;17;infected;transportation;31080;17;429;3;32390;22;457;1;2
full-config;17;infected;transportation;31080;17;429;3;15070;23;525;1;2
full-config;17;infected;school;31080;17;429;3;14647;17;549;1;2
full-config;17;infected;school;31080;17;429;3;10102;16;413;1;2
full-config;17;infected;transportation;34500;14;444;5;32180;67;459;4;2
full-config;17;infected;transportation;34500;14;444;5;12715;8;481;1;2
full-config;17;infected;school;34500;14;444;5;32242;14;351;1;2
full-config;17;infected;transportation;4158;22;452;1;8257;8;570;2;2
full-config;17;infected;school;4158;22;452;1;33528;16;504;3;2
full-config;17;infected;school;4158;22;452;1;3116;15;499;1;2
full-config;17;infected;school;4158;22;452;1;25521;15;542;4;2
full-config;17;infected;transportation;5038;18;463;1;37952;24;559;2;2
full-config;17;infected;school;5038;18;463;1;17064;18;17;3;2
full-config;17;infected;school;5038;18;463;1;11160;17;275;1;2
