CONFIGURATION;DAY;EVENT;LOCAL_OF_INFECTION;INFECTOR;INFECTOR_AGE;INFECTOR_ADDRESS_HOUSE;INFECTOR_ADDRESS_POSITION;INFECTED;INFECTED_AGE;INFECTED_ADDRESS_HOUSE;INFECTED_ADDRESS_POSITION;STEP
full-config;4;infected;home;40286;8;2000;1;40290;38;2000;5;1
full-config;4;infected;school;40286;8;2000;1;40346;8;1463;1;1
full-config;4;infected;school;40286;8;2000;1;26749;8;1906;4;1
full-config;4;infected;school;40286;8;2000;1;32029;8;1713;4;1
full-config;5;infected;home;40286;8;2000;1;40287;17;2000;2;1
full-config;5;infected;home;40286;8;2000;1;40291;5;2000;6;1
full-config;5;infected;school;40286;8;2000;1;18082;8;1719;1;1
full-config;5;infected;school;40286;8;2000;1;36049;8;1422;4;1
full-config;6;infected;school;40286;8;2000;1;39229;8;1623;4;1
full-config;6;infected;school;40286;8;2000;1;16972;8;1679;1;1
full-config;13;infected;school;32029;8;1713;4;8230;8;1714;1;2
full-config;13;cured;-;40286;8;2000;1;0;0;0;0;0
full-config;14;infected;home;39229;8;1623;4;39227;31;1623;2;2
full-config;14;infected;school;39229;8;1623;4;16277;8;1948;2;2
full-config;14;infected;school;32029;8;1713;4;37868;8;1502;3;2
full-config;14;infected;school;40287;17;2000;2;17136;17;1822;3;2
full-config;15;infected;school;36049;8;1422;4;22121;8;1912;2;2
full-config;15;infected;school;39229;8;1623;4;26792;8;1746;3;2
full-config;15;infected;school;32029;8;1713;4;36507;8;1517;2;2
full-config;15;infected;school;40287;17;2000;2;5462;14;2053;1;2
full-config;15;infected;school;40287;17;2000;2;16915;18;1988;1;2
full-config;15;infected;home;40290;38;2000;5;40289;28;2000;4;2
full-config;15;infected;school;40291;5;2000;6;34170;5;1696;1;2
full-config;16;infected;home;36049;8;1422;4;36046;7;1422;1;2
full-config;16;infected;school;36049;8;1422;4;43090;8;1903;1;2
full-config;16;infected;home;39229;8;1623;4;39226;3;1623;1;2
full-config;16;infected;home;39229;8;1623;4;39230;49;1623;5;2
full-config;16;infected;home;18082;8;1719;1;18084;5;1719;3;2
full-config;16;infected;school;18082;8;1719;1;17601;8;1550;3;2
full-config;16;infected;school;18082;8;1719;1;13421;8;1675;2;2
full-config;16;infected;school;26749;8;1906;4;20113;8;1591;1;2
full-config;16;infected;home;40287;17;2000;2;40288;18;2000;3;2
full-config;16;infected;school;40287;17;2000;2;18881;14;1908;2;2
full-config;16;infected;school;40287;17;2000;2;27669;17;1991;4;2
full-config;16;infected;school;40291;5;2000;6;38497;5;1983;2;2
full-config;16;infected;school;40291;5;2000;6;26578;5;1772;1;2
full-config;16;infected;school;40291;5;2000;6;35709;5;2014;4;2
full-config;16;infected;school;40291;5;2000;6;17111;5;1545;2;2
full-config;17;infected;home;40346;8;1463;1;40350;62;1463;5;2
full-config;17;infected;school;16972;8;1679;1;38806;8;1673;1;2
full-config;17;infected;home;18082;8;1719;1;18083;16;1719;2;2
full-config;17;infected;school;40291;5;2000;6;7095;5;1595;2;2
full-config;18;dead;-;36049;8;1422;4;0;0;0;0;0
full-config;18;infected;school;39229;8;1623;4;15308;8;1685;2;2
full-config;18;infected;transportation;8230;8;1714;1;12057;24;1737;3;3
full-config;18;infected;transportation;8230;8;1714;1;43381;20;1765;5;3
full-config;18;infected;school;40291;5;2000;6;35708;5;2014;3;2
full-config;18;infected;school;40291;5;2000;6;3277;5;1761;2;2
full-config;19;infected;home;16972;8;1679;1;16974;55;1679;3;2
full-config;19;infected;home;8230;8;1714;1;8231;60;1714;2;3
full-config;19;infected;transportation;8230;8;1714;1;31631;39;1715;2;3
full-config;19;infected;transportation;8230;8;1714;1;13384;7;1771;1;3
full-config;19;infected;transportation;8230;8;1714;1;16646;19;1821;2;3
full-config;19;infected;transportation;8230;8;1714;1;34418;44;1831;2;3
full-config;19;infected;transportation;8230;8;1714;1;16381;24;1866;1;3
full-config;20;infected;school;40291;5;2000;6;43091;5;1903;2;2
full-config;21;infected;school;34170;5;1696;1;34371;5;1836;2;3
full-config;21;infected;home;5462;14;2053;1;5463;65;2053;2;3
full-config;21;infected;school;5462;14;2053;1;13195;18;1858;1;3
full-config;21;infected;school;5462;14;2053;1;22122;17;1912;3;3
full-config;21;infected;school;5462;14;2053;1;6486;17;1886;1;3
full-config;22;infected;home;37868;8;1502;3;37869;18;1502;4;3
full-config;22;infected;home;34170;5;1696;1;34171;54;1696;2;3
full-config;22;infected;home;34170;5;1696;1;34173;67;1696;4;3
full-config;22;infected;school;34170;5;1696;1;26906;5;1611;1;3
full-config;22;infected;school;34170;5;1696;1;25372;5;1555;3;3
full-config;22;dead;-;32029;8;1713;4;0;0;0;0;0
full-config;22;dead;-;22121;8;1912;2;0;0;0;0;0
full-config;22;infected;home;16915;18;1988;1;16917;6;1988;3;3
full-config;22;infected;transportation;16915;18;1988;1;40255;14;2039;6;3
full-config;22;infected;transportation;16915;18;1988;1;43249;16;2052;7;3
full-config;22;cured;-;40290;38;2000;5;0;0;0;0;0
full-config;22;cured;-;40291;5;2000;6;0;0;0;0;0
full-config;22;infected;school;5462;14;2053;1;19195;23;1804;1;3
full-config;22;infected;school;5462;14;2053;1;17550;22;1808;3;3
full-config;23;infected;home;36507;8;1517;2;36509;2;1517;4;3
full-config;23;infected;home;17111;5;1545;2;17112;7;1545;3;3
full-config;23;infected;school;17111;5;1545;2;14202;5;1548;3;3
full-config;23;infected;work;39230;49;1623;5;31475;43;7194;2;3
full-config;23;infected;work;39230;49;1623;5;24605;24;5067;4;3
full-config;23;infected;work;39230;49;1623;5;30493;63;14438;4;3
full-config;23;infected;transportation;16915;18;1988;1;17884;19;2006;1;3
full-config;23;infected;transportation;16915;18;1988;1;40254;19;2039;5;3
full-config;23;infected;transportation;16915;18;1988;1;15290;20;2173;2;3
full-config;23;infected;school;16915;18;1988;1;24014;14;1751;1;3
full-config;23;infected;school;16915;18;1988;1;34555;17;2015;5;3
full-config;23;infected;school;27669;17;1991;4;21688;16;2085;1;3
full-config;23;infected;transportation;40288;18;2000;3;36280;18;2019;5;3
full-config;23;infected;school;40288;18;2000;3;28430;18;2048;1;3
full-config;24;infected;school;36046;7;1422;1;28790;7;1499;1;3
full-config;24;infected;school;36046;7;1422;1;2925;7;1606;2;3
full-config;24;infected;home;40350;62;1463;5;40351;10;1463;6;3
full-config;24;infected;home;17111;5;1545;2;17110;13;1545;1;3
full-config;24;cured;-;39229;8;1623;4;0;0;0;0;0
full-config;24;infected;work;39230;49;1623;5;11869;43;12611;1;3
full-config;24;infected;work;39230;49;1623;5;33062;57;3857;1;3
full-config;24;infected;work;39230;49;1623;5;37971;48;11056;1;3
full-config;24;cured;-;18082;8;1719;1;0;0;0;0;0
full-config;24;infected;transportation;18083;16;1719;2;30592;16;1794;3;3
full-config;24;infected;transportation;18083;16;1719;2;13681;18;1800;1;3
full-config;24;infected;transportation;18083;16;1719;2;31460;52;1882;3;3
full-config;24;infected;transportation;18083;16;1719;2;24658;18;1910;1;3
full-config;24;infected;school;18083;16;1719;2;32951;24;1864;2;3
full-config;24;infected;transportation;34418;44;1831;2;10636;19;1837;1;4
full-config;24;infected;transportation;34418;44;1831;2;10888;22;1884;1;4
full-config;24;infected;home;34418;44;1831;2;1166;58;1831;1;4
full-config;24;infected;home;43090;8;1903;1;43096;30;1903;7;3
full-config;24;infected;transportation;16915;18;1988;1;18772;7;1999;1;3
full-config;24;infected;transportation;16915;18;1988;1;29556;21;2072;3;3
full-config;24;infected;transportation;27669;17;1991;4;35707;36;2014;2;3
full-config;24;infected;school;27669;17;1991;4;33153;18;1879;4;3
full-config;24;infected;transportation;40288;18;2000;3;33512;10;2042;3;3
full-config;24;infected;transportation;40288;18;2000;3;3191;19;2063;2;3
full-config;24;infected;transportation;40288;18;2000;3;12882;16;2076;3;3
full-config;24;infected;school;40288;18;2000;3;41918;22;1942;1;3
full-config;24;infected;school;40288;18;2000;3;37818;23;1943;3;3
full-config;24;infected;school;40288;18;2000;3;4076;24;2265;1;3
full-config;24;infected;home;35708;5;2014;3;35710;48;2014;5;3
full-config;24;infected;school;35708;5;2014;3;15390;5;1914;3;3
full-config;25;infected;school;36046;7;1422;1;6101;7;1654;2;3
